epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.73989,0.71185,2.04942,2.55142,1.20524,0.25185,0.80607,0.37876,0.19783,0.23032,0.7454,0.31373,0.21516,1.32351,5.76487,12.9736,2.26859,0.00040012,0.00040012,0.00040012
2,16.6025,0.79743,1.71075,1.69646,1.20519,0.26845,0.53768,0.40958,0.24555,0.19246,0.39062,0.28567,0.16011,1.16287,19.7669,11.7337,1.84487,0.000811842,0.000811842,0.000811842
3,24.1706,0.89344,1.82712,1.62066,1.26714,0.13463,0.6011,0.1523,0.09107,0.1142,0.35018,0.12654,0.07564,1.2517,11.5305,65.1446,3.46406,0.00122083,0.00122083,0.00122083
4,31.5222,1.02718,2.12797,1.83405,1.32963,0.02198,0.64522,0.02543,0.01595,0.01705,0.32812,0.02012,0.01265,1.29909,20.977,118.781,2.71624,0.00141485,0.00141485,0.00141485
5,38.8343,0.9051,1.80849,1.49751,1.26239,0.73684,0.42188,0.34959,0.21225,0.73684,0.42188,0.27708,0.17976,1.43754,17.0958,13.4759,4.13807,0.00141014,0.00141014,0.00141014
6,46.1576,0.90279,1.80436,1.46873,1.26403,0.88608,0.21875,0.25526,0.20126,0.87875,0.21875,0.25544,0.19489,1.39455,5.22684,5.85416,2.20238,0.00140542,0.00140542,0.00140542
7,54.3398,0.85639,1.65771,1.4144,1.2243,0.37521,0.49816,0.41185,0.30416,0.37521,0.49816,0.35791,0.26367,1.16293,2.76903,3.31038,1.8326,0.00140071,0.00140071,0.00140071
8,61.7937,0.86123,1.64947,1.24381,1.24249,0.28683,0.57261,0.51746,0.36297,0.28683,0.57261,0.48296,0.31458,1.24783,3.38727,2.57061,2.04369,0.00139599,0.00139599,0.00139599
9,69.2448,0.78643,1.51143,1.18656,1.17706,0.34721,0.62944,0.42623,0.3145,0.31971,0.5864,0.42245,0.29146,1.16553,3.20877,2.90363,1.89366,0.00139127,0.00139127,0.00139127
10,76.5181,0.7807,1.52185,1.16394,1.18196,0.41987,0.70588,0.59337,0.44918,0.41987,0.70588,0.57038,0.42364,0.88041,3.89499,3.49928,1.74193,0.00138656,0.00138656,0.00138656
11,83.9238,0.81498,1.50668,1.17592,1.19042,0.57156,0.62904,0.57885,0.45313,0.52869,0.55331,0.52116,0.35055,1.12033,2.78235,1.42607,1.92879,0.00138184,0.00138184,0.00138184
12,91.1938,0.77107,1.46881,1.1543,1.1882,0.40845,0.76923,0.58212,0.4644,0.39524,0.73566,0.53069,0.39515,0.96758,2.32732,1.70268,1.6911,0.00137713,0.00137713,0.00137713
13,98.446,0.76718,1.47592,1.16371,1.16564,0.54795,0.59207,0.50387,0.36351,0.53747,0.49842,0.43019,0.26553,1.18544,3.40486,2.81556,2.0689,0.00137241,0.00137241,0.00137241
14,105.735,0.81766,1.41966,1.16616,1.21151,0.57793,0.64154,0.60065,0.46148,0.50996,0.64483,0.55025,0.38991,0.91874,3.02067,2.03372,1.66392,0.0013677,0.0013677,0.0013677
15,113.005,0.69417,1.35446,1.05611,1.13366,0.50183,0.77665,0.6279,0.52728,0.50183,0.77665,0.61686,0.46025,0.81507,1.50217,1.18659,1.60261,0.00136298,0.00136298,0.00136298
16,120.361,0.72299,1.34522,1.06403,1.12701,0.44909,0.78037,0.50962,0.41109,0.42978,0.6704,0.48458,0.37439,1.15168,2.80182,1.80076,1.76696,0.00135826,0.00135826,0.00135826
17,127.653,0.70839,1.38821,1.02846,1.1318,0.41542,0.74724,0.55333,0.44556,0.44694,0.74724,0.52803,0.41027,0.76365,1.86868,1.24309,1.33826,0.00135355,0.00135355,0.00135355
18,134.937,0.71811,1.3605,1.05036,1.16388,0.93457,0.41524,0.58302,0.46295,0.93457,0.41524,0.52807,0.42039,0.78246,1.65652,1.67605,1.35233,0.00134883,0.00134883,0.00134883
19,142.223,0.67884,1.26438,0.94539,1.10004,0.46237,0.56526,0.51474,0.40761,0.49695,0.59467,0.47971,0.33103,1.06574,3.76523,2.63935,1.8866,0.00134412,0.00134412,0.00134412
20,149.5,0.66172,1.23936,0.97117,1.10887,0.56091,0.66606,0.56636,0.4683,0.5485,0.63665,0.53125,0.42168,0.9051,1.77099,1.3814,1.56475,0.0013394,0.0013394,0.0013394
21,156.765,0.66982,1.313,0.9938,1.11507,0.40862,0.85294,0.58755,0.516,0.39593,0.82353,0.5612,0.46602,0.71146,1.59821,1.08837,1.28425,0.00133469,0.00133469,0.00133469
22,164.049,0.62363,1.15047,0.88287,1.08082,0.48967,0.73346,0.65644,0.58249,0.48967,0.73346,0.64668,0.53145,0.66174,1.28337,1.13909,1.28091,0.00132997,0.00132997,0.00132997
23,171.466,0.6939,1.18596,0.9934,1.11486,0.51874,0.76103,0.61528,0.52384,0.49858,0.70221,0.56339,0.48119,0.8503,1.52301,1.43312,1.5076,0.00132525,0.00132525,0.00132525
24,178.774,0.65568,1.23513,0.96142,1.09378,0.50509,0.8079,0.60945,0.51683,0.49524,0.77849,0.58706,0.4695,0.71927,1.43526,1.02551,1.32063,0.00132054,0.00132054,0.00132054
25,186.161,0.65781,1.20505,0.97557,1.11386,0.51925,0.71415,0.59895,0.53811,0.51522,0.69537,0.57668,0.44948,0.81066,2.39139,1.47712,1.64005,0.00131582,0.00131582,0.00131582
26,193.586,0.63386,1.21066,0.90484,1.06498,0.55304,0.64154,0.57188,0.49382,0.55594,0.64154,0.5537,0.43229,0.73596,1.54263,1.27497,1.31997,0.00131111,0.00131111,0.00131111
27,200.862,0.6214,1.14621,0.90489,1.04439,0.54713,0.68868,0.64779,0.57157,0.54713,0.68868,0.63466,0.49461,0.77318,1.78762,1.29091,1.51034,0.00130639,0.00130639,0.00130639
28,208.189,0.62642,1.05163,0.91824,1.06376,0.46296,0.70588,0.6143,0.52864,0.43804,0.67647,0.55963,0.42207,0.89217,2.15271,1.21839,1.72799,0.00130168,0.00130168,0.00130168
